noise_level,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,algorithm,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
0.5,0.000855872478817992,[23.37232207 26.26537393],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.1,zeroone,10-100,0.01,5.0,,,,
0.5,0.0008559242566879866,[23.37232193 26.26537501],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.7,minmax,10-100,0.01,5.0,,,,
0.5,0.0008559242566879866,[23.37232193 26.26537501],576,"[[100.85571377]
 [136.81693974]]",TLp-BI,0.7,zeroone,10-100,0.01,5.0,,,,
0.5,0.0004730987509035665,[24.19127129 24.99136348],2375,"[[478.95102354]
 [478.46090969]]",TLp-BI,0.001,minmax,10-100,0.05,5.0,,,,
0.5,0.0004730987509035665,[24.19127129 24.99136348],2375,"[[478.95102354]
 [478.46090969]]",TLp-BI,0.001,zeroone,10-100,0.05,5.0,,,,
0.5,0.0004730989521074981,[24.19127124 24.9913635 ],2375,"[[478.95102354]
 [478.46090969]]",TLp-BI,0.05,minmax,10-100,0.05,5.0,,,,
0.5,0.0004730989521074981,[24.19127124 24.9913635 ],2375,"[[478.95102354]
 [478.46090969]]",TLp-BI,0.05,zeroone,10-100,0.05,5.0,,,,
0.5,0.0004730997292421656,[24.19127127 24.99136332],2375,"[[478.95102354]
 [478.46090969]]",TLp-BI,0.1,minmax,10-100,0.05,5.0,,,,
0.5,0.0004730997292421656,[24.19127127 24.99136332],2375,"[[478.95102354]
 [478.46090969]]",TLp-BI,0.1,zeroone,10-100,0.05,5.0,,,,
0.5,0.00047310206988050577,[24.19127092 24.99136348],2375,"[[478.95102354]
 [478.46090969]]",TLp-BI,0.7,minmax,10-100,0.05,5.0,,,,
